"","folder","pop","picname","Body_weight.g.","Total_length.mm.","Standard_length.mm.","cal"
"264","MKZ","MKZ","20170913067_L",9.7,97.35,78.05,386
"265","MKZ","MKZ","20170913068_L",5.1,84.75,66.05,386
"266","MKZ","MKZ","20170913069_L",5.5,88.89,70.27,386
"267","MKZ","MKZ","20170913070_L",6.9,90.47,72.81,386
"268","MKZ","MKZ","20170913071_L",6.9,93.24,73.4,386
"269","MKZ","MKZ","20170913072_L",7.9,93.4,75.01,386
"270","MKZ","MKZ","20170913073_L",5.9,83.94,67.5,386
"271","MKZ","MKZ","20170913074_L",9.5,98.69,80.36,386
"272","MKZ","MKZ","20170913077_L",7.5,94.44,77.3,386
"273","MKZ","MKZ","20170913078_L",5.7,86.98,68.77,386
"274","MKZ","MKZ","20170913079_L",7.2,85.87,71.26,386
"275","MKZ","MKZ","20170913080_L",4.5,76.27,59.33,386
"276","MKZ","MKZ","20170913081_L",3.8,71.17,57.9,386
"277","MKZ","MKZ","20170913082_L",3.7,73.05,57.68,386
"278","MKZ","MKZ","20170913083_L",3.5,71.32,56.38,386
"279","MKZ","MKZ","20170913084_L",4.2,74.04,62.66,386
"280","MKZ","MKZ","20170913085_L",4.8,81.82,65.58,386
"281","MKZ","MKZ","20170913086_L",4.1,73.84,58.74,386
"282","MKZ","MKZ","20170913087_L",3.4,72.08,56.05,386
"283","MKZ","MKZ","20170917002_L",203.4,289.6,237.49,386
"284","MKZ","MKZ","20170917003_L",184.5,286.35,231.64,386
"285","MKZ","MKZ","20170917004_L",80.8,215.04,172.97,386
"286","MKZ","MKZ","20170917005_L",59.4,201.94,163.89,386
"287","MKZ","MKZ","20170917006_L",58.3,191.24,155.55,386
"288","MKZ","MKZ","20170917007_L",52.2,182.42,146.99,386
"289","MKZ","MKZ","20170917008_L",51.4,182.91,144.34,386
"290","MKZ","MKZ","20170917009_L",52.3,193.76,157.02,386
"291","MKZ","MKZ","20170917010_L",65.8,195.67,157.57,386
"292","MKZ","MKZ","20170917011_L",55.7,186.49,153.37,386
"293","MKZ","MKZ","20170917012_L",60.1,187.38,154.59,386
"294","MKZ","MKZ","20170917013_L",77.6,215.63,175.32,386
"295","MKZ","MKZ","20170917014_L",48,190.64,151.03,386
"296","MKZ","MKZ","20170917015_L",55.4,189.87,153.39,386
"297","MKZ","MKZ","20170917016_L",35.7,171.65,133.87,386
"298","MKZ","MKZ","20170917017_L",43.1,184.77,149.29,386
"299","MKZ","MKZ","20170917018_L",44,178.12,146.16,386
"300","MKZ","MKZ","20170917020_L",26.3,153.86,119.83,386
"301","MKZ","MKZ","20170917021_L",29.3,149.82,121.95,386
"302","MKZ","MKZ","20170917023_L",13.3,115.26,94.48,386
"303","MKZ","MKZ","20170917024_L",12.3,110.05,89.62,386
"304","MKZ","MKZ","20170917025_L",11.1,105.73,86.47,386
"305","MKZ","MKZ","20170917026_L",11.8,107.63,86.54,386
"306","MKZ","MKZ","20170917027_L",14.2,115.7,93.8,386
"307","MKZ","MKZ","20170917028_L",10.7,105.33,85.72,386
"308","MKZ","MKZ","20170917029_L",10.6,105.69,85.14,386
"309","MKZ","MKZ","20170917031_L",9.4,103.68,83.75,386
"310","MKZ","MKZ","20170917032_L",10.7,105.33,85.72,386
"311","MKZ","MKZ","20170917033_L",8.8,103.56,83.32,386
"312","MKZ","MKZ","20170917034_L",12.3,109.04,87.02,386
"313","MKZ","MKZ","20170917035_L",11.1,106.39,87.03,386
"314","MKZ","MKZ","20170917036_L",8.3,95.62,78.26,386
"315","MKZ","MKZ","20170917037_L",8.2,98.5,76.7,386
"316","MKZ","MKZ","20170917038_L",11.3,111.29,86.93,386
"317","MKZ","MKZ","20170917039_L",7.6,97.88,78.75,386
"318","MKZ","MKZ","20170917040_L",7.7,94.11,75.19,386
"319","MKZ","MKZ","20170917041_L",7.8,100.78,79.48,386
"320","MKZ","MKZ","20170917042_L",7.6,95.68,77.82,386
"321","MKZ","MKZ","20170917043_L",10.6,101.57,83.4,386
"322","MKZ","MKZ","20170917044_L",7.7,97.33,78.62,386
"323","MKZ","MKZ","20170917045_L",7.3,93.42,74.73,386
"324","MKZ","MKZ","20170917046_L",8.3,98.97,77.59,386
"325","MKZ","MKZ","20170917048_L",7.1,92.15,73.99,386
"326","MKZ","MKZ","20170917049_L",6.6,89.85,71.83,386
"327","MKZ","MKZ","20170917050_L",4.5,82.37,65.03,386
"328","MKZ","MKZ","20170917051_L",5.3,84.43,65.64,386
"329","MKZ","MKZ","20170917053_L",5.7,90.19,69.97,386
"330","MKZ","MKZ","20170917054_L",4.9,80.79,65.44,386
"331","MKZ","MKZ","20170917055_L",4.2,77.05,63.02,386
"332","MKZ","MKZ","20170917056_L",3.8,76.49,60.5,386
"333","MKZ","MKZ","20170917057_L",3.3,76.54,60.84,386
"334","MKZ","MKZ","20170917058_L",2.2,66.71,51.56,386
"335","MKZ","MKZ","20170917059_L",5.3,87.41,69.46,386
"336","MKZ","MKZ","20170917061_L",6.8,92.42,73.04,386
"337","MKZ","MKZ","20170917062_L",7,91.39,73.25,386
"338","MKZ","MKZ","20170917063_L",4.8,78.29,63.12,386
"339","MKZ","MKZ","20170917064_L",4.4,78.4,61.38,386
"340","MKZ","MKZ","20170917065_L",5,83.02,66.16,386
"341","MKZ","MKZ","20170917066_L",4.3,79.42,62.75,386
"342","MKZ","MKZ","20170917067_L",4.2,77.06,61.32,386
"343","MKZ","MKZ","20170917068_L",3.6,72.01,55.99,386
"344","SPZ","SPZ","17050901_L",266.1,274.06,247.75,386
"345","SPZ","SPZ","17050902_L",208.7,293.1,240.8,386
"346","SPZ","SPZ","17050903_L",190.3,271.87,227.33,386
"347","SPZ","SPZ","17050904_L",38.2,169.37,135.86,386
"348","SPZ","SPZ","17050905_L",27,136.79,114.36,386
"349","SPZ","SPZ","17050906_L",13.8,113.3,92.51,386
"350","SPZ","SPZ","170509020_L",266.1,274.06,247.75,386
"351","SPZ","SPZ","170509021_L",208.7,293.1,240.8,386
"352","SPZ","SPZ","170509022_L",190.3,271.87,227.33,386
"353","SPZ","SPZ","170509023_L",38.2,169.37,135.86,386
"354","SPZ","SPZ","170509024_L",27,136.79,114.36,386
"355","SPZ","SPZ","170509025_L",13.8,113.3,92.51,386
"356","TTZ","TTZ","170806001_L",454.8,377.61,307.61,386
