Site,ID,standard.length,relative.otolith.area,relative.otolith.length,relative.otolith.width,relative.otolith.perimeter,Aspect ratio,Rectangularity,Roundness,Form factor,Ellipticity,Circularity,Altitude,Average river gradient,Latitude,Annual average temperature
CWLZ,170513094,165.6,2.012757132,1.743478196,1.513342727,5.2482449,1.152070952,0.762847206,0.84307935,0.918275619,0.070662611,13.6847482,1700,12.1571,28,11.9
CWLZ,170513095,189.56,1.900371892,1.906104383,1.309569117,5.256544845,1.455520261,0.761313434,0.66597106,0.86426657,0.185508655,14.53992443,1700,12.1571,28,11.9
CWLZ,170513098,154.33,1.897723309,1.790704436,1.34378456,5.153421517,1.332582982,0.788640971,0.753520707,0.897948487,0.142581415,13.99453398,1700,12.1571,28,11.9
CWLZ,170513099,145.28,1.993757475,1.843431373,1.356126804,5.349450026,1.359335549,0.797526375,0.747013583,0.875515669,0.152303706,14.35310761,1700,12.1571,28,11.9
CWLZ,170513100,142.5,2.116233705,1.879878549,1.464353193,5.422178462,1.283760337,0.768755076,0.762454902,0.904536041,0.124251364,13.8926146,1700,12.1571,28,11.9
CWLZ,170513103,148.42,1.771744511,1.714710485,1.360749108,4.936832623,1.260122439,0.75933293,0.767237122,0.913511783,0.115092189,13.75611224,1700,12.1571,28,11.9
CWLZ,170513106,156.79,1.68278718,1.785726828,1.216442292,4.929403732,1.467991404,0.774680565,0.671907156,0.870262519,0.189624406,14.43974701,1700,12.1571,28,11.9
CWLZ,170513107,156.79,1.788107959,1.732104613,1.280531979,5.079573316,1.352644558,0.806174746,0.75884944,0.870861586,0.149892833,14.4298139,1700,12.1571,28,11.9
CWLZ,170513108,169.46,1.976918034,1.760806158,1.411772887,5.225347287,1.247230468,0.795265748,0.811849794,0.909846665,0.110015626,13.81152572,1700,12.1571,28,11.9
CWLZ,170513109,171.25,1.807446398,1.741882703,1.358820756,5.000866286,1.281907636,0.763632402,0.75846882,0.908206918,0.123540336,13.83646211,1700,12.1571,28,11.9
CWLZ,170513110,161.7,1.704790144,1.787132819,1.228863749,4.943443278,1.454296964,0.776265639,0.67962193,0.8766408,0.185102687,14.33468602,1700,12.1571,28,11.9
CWLZ,170513112,134.97,1.925177159,1.780515708,1.363465086,5.206334142,1.305875542,0.793014027,0.773195291,0.892516984,0.132650499,14.07969914,1700,12.1571,28,11.9
CWLZ,170513113,174.68,1.849061374,1.86315592,1.298976083,5.137439088,1.434326578,0.764013392,0.678208211,0.880375239,0.178417548,14.27388012,1700,12.1571,28,11.9
CWLZ,170513114,168.81,1.762205461,1.645499846,1.39434025,4.999520714,1.180127911,0.768050777,0.828649685,0.885950918,0.082622634,14.1840483,1700,12.1571,28,11.9
CWLZ,170513115,168.14,1.887821132,1.734703701,1.450619431,5.097478061,1.195836526,0.750208616,0.798767437,0.912977294,0.089185385,13.76416555,1700,12.1571,28,11.9
CWLZ,170513116,170.67,1.751999514,1.643317041,1.345051457,4.984786366,1.221750315,0.792635872,0.826040579,0.886034729,0.099808837,14.18270663,1700,12.1571,28,11.9
CWLZ,170513117,183.04,1.705315745,1.790729959,1.273827288,4.939275813,1.405787092,0.747591155,0.677102974,0.87839147,0.16867124,14.30611641,1700,12.1571,28,11.9
CWLZ,170513118,182.83,1.994397659,1.852277737,1.355577657,5.346717209,1.366412118,0.794293936,0.740132816,0.876692297,0.154838675,14.333844,1700,12.1571,28,11.9
